GCC,Clang,DaCe,Polygeist + MLIR,MLIR-DaCe
1218.974000,1540.326000,7989.312,716.260000,0.215
1242.114000,1530.756000,7989.193,716.228000,0.059
1216.494000,1540.947000,7988.885,716.232000,0.043
1239.242000,1535.148000,7988.76,716.225000,0.049
1246.564000,1540.505000,7988.754,716.237000,0.043
1238.966000,1531.887000,7988.688,716.228000,0.044
1239.500000,1542.232000,7989.578,716.227000,0.043
1239.090000,1529.847000,7989.555,716.229000,0.043
1218.540000,1537.696000,7988.802,716.221000,0.043
1238.315000,1531.417000,7988.688,716.235000,0.043
